ENTITY_ID,COMPANY_CODE,TEMPLATE_NAME,CONTENT,CLEANED_CONTENT
3,INTERPARKTICKET,인터파크티켓 _템플릿,"고객님, 안녕하세요. 인터파크 티켓을 찾아주셔서 감사합니다. 인터파크 티켓을 이용하는 모든 고객 여러분께 편리한 서비스와 다양한 혜택을 제공하도록 더 노력하겠습니다. 감사합니다.","고객님, 안녕하세요. 인터파크 티켓을 찾아주셔서 감사합니다. 인터파크 티켓을 이용하는 모든 고객 여러분께 편리한 서비스와 다양한 혜택을 제공하도록 더 노력하겠습니다. 감사합니다."
70,INTERPARKTICKET,"고객님, 안녕하세요. 인터파크 티켓을 찾아주셔서 감사합니다.","고객님, 안녕하세요. 인터파크 티켓을 찾아주셔서 감사합니다. 인터파크 티켓을 이용하는 모든 고객 여러분께 편리한 서비스와 다양한 혜택을 제공하도록 더 노력하겠습니다. 감사합니다. <인터파크티켓 고객센터> * 1:1 문의 : 인터파크티켓 앱 > [마이페이지] > [1:1 문의하기] * 전화 : 1544-1555 (해외 이용 시: +82-2-1544-1555) * 상담 가능 시간 : 09시~18시 (연중무휴)","고객님, 안녕하세요. 인터파크 티켓을 찾아주셔서 감사합니다. 인터파크 티켓을 이용하는 모든 고객 여러분께 편리한 서비스와 다양한 혜택을 제공하도록 더 노력하겠습니다. 감사합니다. <인터파크티켓 고객센터> * 1:1 문의 : 인터파크티켓 앱 > [마이페이지] > [1:1 문의하기] * 전화 : 1544-1555 (해외 이용 시: +82-2-1544-1555) * 상담 가능 시간 : 09시~18시 (연중무휴)"
92,INTERPARKTICKET,[인터파크 티켓] 예매내역 변경 (기본),"고객님, 안녕하세요. 인터파크 티켓을 찾아주셔서 감사합니다. 문의하신 좌석 변경에 대한 답변입니다.
예약번호 :
공연제목 :
공연일시 : 좌석 등의 일부 변경을 원하시면 기존 예매 건을 취소하시고
재예매하셔야 하며, 취소 시 날짜별 취소수수료가 부과됩니다.
[ 할인 또한 재예매 시점을 기준으로 적용됩니다. ] 취소 없이 변경은 어려운 점 양해해 주시기 바랍니다. 다른 문의사항은 티켓 고객센터[1544-1555] 또는 1:1문의하기로
접수 바라며, 인터파크 티켓을 이용하는 모든 고객 여러분께
편리한 서비스와 다양한 혜택을 제공하도록 더 노력하겠습니다.
감사합니다.","고객님, 안녕하세요. 인터파크 티켓을 찾아주셔서 감사합니다. 문의하신 좌석 변경에 대한 답변입니다.
예약번호 :
공연제목 :
공연일시 : 좌석 등의 일부 변경을 원하시면 기존 예매 건을 취소하시고
재예매하셔야 하며, 취소 시 날짜별 취소수수료가 부과됩니다.
[ 할인 또한 재예매 시점을 기준으로 적용됩니다. ] 취소 없이 변경은 어려운 점 양해해 주시기 바랍니다. 다른 문의사항은 티켓 고객센터[1544-1555] 또는 1:1문의하기로
접수 바라며, 인터파크 티켓을 이용하는 모든 고객 여러분께
편리한 서비스와 다양한 혜택을 제공하도록 더 노력하겠습니다.
감사합니다."
93,INTERPARKTICKET,[인터파크 티켓] 예매내역 변경 (취재예 가능),"고객님, 안녕하세요. 인터파크 티켓을 찾아주셔서 감사합니다. 문의하신 결제수단 변경에 대한 답변입니다.
예약번호 :
공연제목 :
공연일시 : 결제수단 등의 일부 변경을 원하시면 기존 예매 건을 취소하시고
재예매하셔야 하며, 취소 시 날짜별 취소수수료가 부과됩니다.
[ 할인 또한 재예매 시점을 기준으로 적용됩니다. ] 동일한 좌석에 대해서 재예매를 원하시는 경우에는 홈페이지를
통해 예매 취소 시 재로그인 후 [취소 후 재예매하기] 버튼을
클릭하시면 30분 동안은 해당 좌석으로 재예매 가능합니다. 다만, 위 서비스 이용 시에도 날짜별 취소수수료와 예매수수료가 부과됩니다. 취소 후 재예매하기 서비스는 한 공연에 2번까지 이용 가능하며,
티켓 배송이 시작된 후에는 이용이 어려우니 참고 바랍니다. 서비스 이용 방법은 아래 페이지를 확인하시기 바랍니다.
[http://ticket.interpark.com/TiKi/Info/BookingGuide.asp
?Url=guide_09.html] 취소 없이 변경은 어려운 점 양해해 주시기 바랍니다. 다른 문의사항은 티켓 고객센터[1544-1555] 또는 1:1문의하기로
접수 바라며, 인터파크 티켓을 이용하는 모든 고객 여러분께
편리한 서비스와 다양한 혜택을 제공하도록 더 노력하겠습니다.
감사합니다.","고객님, 안녕하세요. 인터파크 티켓을 찾아주셔서 감사합니다. 문의하신 결제수단 변경에 대한 답변입니다.
예약번호 :
공연제목 :
공연일시 : 결제수단 등의 일부 변경을 원하시면 기존 예매 건을 취소하시고
재예매하셔야 하며, 취소 시 날짜별 취소수수료가 부과됩니다.
[ 할인 또한 재예매 시점을 기준으로 적용됩니다. ] 동일한 좌석에 대해서 재예매를 원하시는 경우에는 홈페이지를
통해 예매 취소 시 재로그인 후 [취소 후 재예매하기] 버튼을
클릭하시면 30분 동안은 해당 좌석으로 재예매 가능합니다. 다만, 위 서비스 이용 시에도 날짜별 취소수수료와 예매수수료가 부과됩니다. 취소 후 재예매하기 서비스는 한 공연에 2번까지 이용 가능하며,
티켓 배송이 시작된 후에는 이용이 어려우니 참고 바랍니다. 서비스 이용 방법은 아래 페이지를 확인하시기 바랍니다.
[http://ticket.interpark.com/TiKi/Info/BookingGuide.asp
?Url=guide_09.html] 취소 없이 변경은 어려운 점 양해해 주시기 바랍니다. 다른 문의사항은 티켓 고객센터[1544-1555] 또는 1:1문의하기로
접수 바라며, 인터파크 티켓을 이용하는 모든 고객 여러분께
편리한 서비스와 다양한 혜택을 제공하도록 더 노력하겠습니다.
감사합니다."
94,INTERPARKTICKET,[인터파크 티켓]  예매내역 변경 (취재예 불가),"고객님, 안녕하세요. 인터파크 티켓을 찾아주셔서 감사합니다. 문의하신 결제수단 변경에 대한 답변입니다.
예약번호 :
공연제목 :
공연일시 : 결제수단 등의 일부 변경을 원하시면 기존 예매 건을 취소하시고
재예매하셔야 하며, 취소 시 날짜별 취소수수료가 부과됩니다.
[ 할인 또한 재예매 시점을 기준으로 적용됩니다. ] 다만, 취소하는 동시에 바로 주문 가능 상태로 확인되기 때문에
다른 고객님께서 먼저 좌석을 선택 후 결제를 완료하시면 고객님께서는
동일 좌석으로 재예매가 되지 않습니다. 취소 없이 변경은 어려운 점 양해해 주시기 바랍니다. 그러한 이유로 예매 시 유의사항에 [동일 상품에 대해서 회차,
좌석, 가격, 결제 등 일부 변경을 원하시는 경우, 기존 예매 건을
취소 하시고 재예매 하셔야 합니다.]를 기재해 드리고 있습니다. 다른 문의사항은 티켓 고객센터[1544-1555] 또는 1:1문의하기로
접수 바라며, 인터파크 티켓을 이용하는 모든 고객 여러분께
편리한 서비스와 다양한 혜택을 제공하도록 더 노력하겠습니다.
감사합니다.","고객님, 안녕하세요. 인터파크 티켓을 찾아주셔서 감사합니다. 문의하신 결제수단 변경에 대한 답변입니다.
예약번호 :
공연제목 :
공연일시 : 결제수단 등의 일부 변경을 원하시면 기존 예매 건을 취소하시고
재예매하셔야 하며, 취소 시 날짜별 취소수수료가 부과됩니다.
[ 할인 또한 재예매 시점을 기준으로 적용됩니다. ] 다만, 취소하는 동시에 바로 주문 가능 상태로 확인되기 때문에
다른 고객님께서 먼저 좌석을 선택 후 결제를 완료하시면 고객님께서는
동일 좌석으로 재예매가 되지 않습니다. 취소 없이 변경은 어려운 점 양해해 주시기 바랍니다. 그러한 이유로 예매 시 유의사항에 [동일 상품에 대해서 회차,
좌석, 가격, 결제 등 일부 변경을 원하시는 경우, 기존 예매 건을
취소 하시고 재예매 하셔야 합니다.]를 기재해 드리고 있습니다. 다른 문의사항은 티켓 고객센터[1544-1555] 또는 1:1문의하기로
접수 바라며, 인터파크 티켓을 이용하는 모든 고객 여러분께
편리한 서비스와 다양한 혜택을 제공하도록 더 노력하겠습니다.
감사합니다."
95,INTERPARKTICKET,[인터파크 티켓] 카드 취소 건 환불 기간,"고객님, 안녕하세요. 인터파크 티켓을 찾아주셔서 감사합니다. 문의하신 카드 취소에 대한 답변입니다.
예약번호 :
공연제목 :
공연일시 : 취소된 건은 카드 회사의 특성상 취소 요청 후 주말, 공휴일 제외
3~5일 정도 지난 후 승인 취소가 완료됩니다. 고객님 결제일에 따라 카드 대금이 청구될 수 있으며,
청구된 이후 취소가 되었으면 다음 달 카드 대금에서
상계 처리되거나 통장으로 환불되는 점 참고 바랍니다. 체크카드도 일반 신용카드와 동일하게 카드 취소 기간은
주말 제외 3~5일 정도 소요됩니다. 다만, 환불은 카드사 또는 은행에서 해드리며, 카드가
취소된 후 통장으로 입금되기 때문에 3일 정도 기간이
더 소요될 수 있음을 양해해 주시기 바랍니다. 정확한 환불 일자 확인은 카드 소유자의 개인정보 확인 후
카드사에서 안내해 드리고 있습니다. 번거로우시겠지만 고객님께서 직접 카드사나 은행으로
문의해 주셔야 합니다. 다른 문의사항은 티켓 고객센터[1544-1555] 또는 1:1문의하기로
접수 바라며, 인터파크 티켓을 이용하는 모든 고객 여러분께
편리한 서비스와 다양한 혜택을 제공하도록 더 노력하겠습니다.
감사합니다.","고객님, 안녕하세요. 인터파크 티켓을 찾아주셔서 감사합니다. 문의하신 카드 취소에 대한 답변입니다.
예약번호 :
공연제목 :
공연일시 : 취소된 건은 카드 회사의 특성상 취소 요청 후 주말, 공휴일 제외
3~5일 정도 지난 후 승인 취소가 완료됩니다. 고객님 결제일에 따라 카드 대금이 청구될 수 있으며,
청구된 이후 취소가 되었으면 다음 달 카드 대금에서
상계 처리되거나 통장으로 환불되는 점 참고 바랍니다. 체크카드도 일반 신용카드와 동일하게 카드 취소 기간은
주말 제외 3~5일 정도 소요됩니다. 다만, 환불은 카드사 또는 은행에서 해드리며, 카드가
취소된 후 통장으로 입금되기 때문에 3일 정도 기간이
더 소요될 수 있음을 양해해 주시기 바랍니다. 정확한 환불 일자 확인은 카드 소유자의 개인정보 확인 후
카드사에서 안내해 드리고 있습니다. 번거로우시겠지만 고객님께서 직접 카드사나 은행으로
문의해 주셔야 합니다. 다른 문의사항은 티켓 고객센터[1544-1555] 또는 1:1문의하기로
접수 바라며, 인터파크 티켓을 이용하는 모든 고객 여러분께
편리한 서비스와 다양한 혜택을 제공하도록 더 노력하겠습니다.
감사합니다."
96,INTERPARKTICKET,[인터파크 티켓] 취소 (취소 마감시간 이후 예매 건),"고객님, 안녕하세요. 인터파크 티켓을 찾아주셔서 감사합니다. 문의하신 예매 취소에 대한 답변입니다.
예약번호 :
공연제목 :
공연일시 : 공연 예매 취소 마감시간은 공연 하루 전 평일/일요일/공휴일
오후 5시이며, 토요일은 오전 11시까지입니다. 취소 마감시간 이후 예매 시에는 예매 취소가 어려운 부분에
대해서 예매 전 팝업 창으로 확인해 드리고 있으며,
예매과정, 예매 완료 시 여러 경로를 통해서 확인하실 수
있도록 기재해 드리고 있기 때문에 현재 예매하신 내역은
취소 처리가 어려운 점 양해해 주시기 바랍니다. 만족스러운 도움을 드리지 못해 죄송합니다. 인터파크 티켓을 이용하는 모든 고객 여러분께 편리한
서비스와 다양한 혜택을 제공하도록 더 노력하겠습니다.
감사합니다.","고객님, 안녕하세요. 인터파크 티켓을 찾아주셔서 감사합니다. 문의하신 예매 취소에 대한 답변입니다.
예약번호 :
공연제목 :
공연일시 : 공연 예매 취소 마감시간은 공연 하루 전 평일/일요일/공휴일
오후 5시이며, 토요일은 오전 11시까지입니다. 취소 마감시간 이후 예매 시에는 예매 취소가 어려운 부분에
대해서 예매 전 팝업 창으로 확인해 드리고 있으며,
예매과정, 예매 완료 시 여러 경로를 통해서 확인하실 수
있도록 기재해 드리고 있기 때문에 현재 예매하신 내역은
취소 처리가 어려운 점 양해해 주시기 바랍니다. 만족스러운 도움을 드리지 못해 죄송합니다. 인터파크 티켓을 이용하는 모든 고객 여러분께 편리한
서비스와 다양한 혜택을 제공하도록 더 노력하겠습니다.
감사합니다."
97,INTERPARKTICKET,[인터파크 티켓] 배송 문의 (우체국 이관으로 배송지연),"고객님, 안녕하세요. 인터파크 티켓을 찾아주셔서 감사합니다. 문의하신 배송에 대한 답변입니다.
예약번호 :
공연제목 :
공연일시 : 티켓은 월 일에 일괄 발송되었으나 배송하는 [주식회사 국제]
업체의 물량이 너무 많아 월 일 우체국 등기로 전환 발송된 점
양해해 주시기 바랍니다. 아래 주소로 등기번호를 입력하시면 배송 정보 확인이 가능하오니
참고 바랍니다.
등기번호 :
[우체국 : https://service.epost.go.kr/iservice/usr/trace/usrtrc001k01.jsp] 다른 문의사항은 티켓 고객센터[1544-1555] 또는 1:1문의하기로
접수 바라며, 인터파크 티켓을 이용하는 모든 고객 여러분께
편리한 서비스와 다양한 혜택을 제공하도록 더 노력하겠습니다.
감사합니다.","고객님, 안녕하세요. 인터파크 티켓을 찾아주셔서 감사합니다. 문의하신 배송에 대한 답변입니다.
예약번호 :
공연제목 :
공연일시 : 티켓은 월 일에 일괄 발송되었으나 배송하는 [주식회사 국제]
업체의 물량이 너무 많아 월 일 우체국 등기로 전환 발송된 점
양해해 주시기 바랍니다. 아래 주소로 등기번호를 입력하시면 배송 정보 확인이 가능하오니
참고 바랍니다.
등기번호 :
[우체국 : https://service.epost.go.kr/iservice/usr/trace/usrtrc001k01.jsp] 다른 문의사항은 티켓 고객센터[1544-1555] 또는 1:1문의하기로
접수 바라며, 인터파크 티켓을 이용하는 모든 고객 여러분께
편리한 서비스와 다양한 혜택을 제공하도록 더 노력하겠습니다.
감사합니다."
98,INTERPARKTICKET,[인터파크 티켓] 배송문의 (배송완료),"고객님, 안녕하세요. 인터파크 티켓을 찾아주셔서 감사합니다. 문의하신 티켓 배송에 대한 답변입니다.
예약번호 :
공연제목 :
공연일시 : 예매하신 티켓은 월 일에 발송되어 월 일 [요일]
고객님께서 수령하신 것으로 확인됩니다. 배송은 [마이페이지 > 상세 > 등기번호확인 > 등기조회하기]에서
조회 가능합니다. 다른 문의사항은 티켓 고객센터[1544-1555] 또는 1:1문의하기로
접수 바라며, 인터파크 티켓을 이용하는 모든 고객 여러분께
편리한 서비스와 다양한 혜택을 제공하도록 더 노력하겠습니다.
감사합니다.","고객님, 안녕하세요. 인터파크 티켓을 찾아주셔서 감사합니다. 문의하신 티켓 배송에 대한 답변입니다.
예약번호 :
공연제목 :
공연일시 : 예매하신 티켓은 월 일에 발송되어 월 일 [요일]
고객님께서 수령하신 것으로 확인됩니다. 배송은 [마이페이지 > 상세 > 등기번호확인 > 등기조회하기]에서
조회 가능합니다. 다른 문의사항은 티켓 고객센터[1544-1555] 또는 1:1문의하기로
접수 바라며, 인터파크 티켓을 이용하는 모든 고객 여러분께
편리한 서비스와 다양한 혜택을 제공하도록 더 노력하겠습니다.
감사합니다."
99,INTERPARKTICKET,[인터파크 티켓] 배송문의 (묶음배송 문의),"고객님, 안녕하세요. 인터파크 티켓을 찾아주셔서 감사합니다. 문의하신 티켓 배송에 대한 답변입니다.
예약번호 :
공연제목 :
공연일시 : 같은 공연이라 하더라도 예매일이 다르거나 예매를
각각 진행하시게 되면 날짜와 시간별 회차, 좌석의 특성에
따라 다르게 출력을 담당하고 있습니다. 예매건 마다 각각의 티켓이 출력되기 때문에 티켓은
묶음 배송이 어려운 점 양해해 주시기 바랍니다. 묶음 배송이 어려운 부분은 예매 시 유의 사항으로
안내드리고 있습니다. 다른 문의사항은 티켓 고객센터[1544-1555] 또는 1:1문의하기로
접수 바라며, 인터파크 티켓을 이용하는 모든 고객 여러분께
편리한 서비스와 다양한 혜택을 제공하도록 더 노력하겠습니다.
감사합니다.","고객님, 안녕하세요. 인터파크 티켓을 찾아주셔서 감사합니다. 문의하신 티켓 배송에 대한 답변입니다.
예약번호 :
공연제목 :
공연일시 : 같은 공연이라 하더라도 예매일이 다르거나 예매를
각각 진행하시게 되면 날짜와 시간별 회차, 좌석의 특성에
따라 다르게 출력을 담당하고 있습니다. 예매건 마다 각각의 티켓이 출력되기 때문에 티켓은
묶음 배송이 어려운 점 양해해 주시기 바랍니다. 묶음 배송이 어려운 부분은 예매 시 유의 사항으로
안내드리고 있습니다. 다른 문의사항은 티켓 고객센터[1544-1555] 또는 1:1문의하기로
접수 바라며, 인터파크 티켓을 이용하는 모든 고객 여러분께
편리한 서비스와 다양한 혜택을 제공하도록 더 노력하겠습니다.
감사합니다."
